Generated by pymatgen.io.lammps.data.LammpsData

24948  atoms

    1  atom types

0.000000 54.504395  xlo xhi
0.000000 63.033596  ylo yhi
0.000000 104.937693  zlo zhi
1.432581 0.000000 0.000000  xy xz yz

Masses

1  55.85

Atoms

16248  1  1.784450  9.957571 80.758471
18327  1  3.414778  7.613764 80.759482
8031   1  0.944147 11.131286 82.780960
20505  1  3.421620 11.131286 82.780960
5952   1  0.872760  7.620462 84.795571
10209  1  2.489309  8.790792 86.815166
16347  1  1.719416  9.962262 84.798710
18426  1  3.350232  7.620462 84.795571
8130   1  0.865820 11.128921 86.823368
20604  1  3.343292 11.128921 86.823368
6051   1  0.773961  7.616360 88.830908
10308  1  2.372926  8.770548 90.855415
16446  1  1.624269  9.952409 88.839460
18525  1  3.251434  7.616359 88.830908
8229   1  0.755580 11.103881 90.867370
20703  1  3.233052 11.103881 90.867370
20802  1  2.220626  8.717064  9.961144
6150   1  0.629502  7.580893 92.871464
16545  1  1.493611  9.913640 92.883347
18624  1  3.106975  7.580893 92.871464
6249   1  3.095893 11.052350  9.974944
4072   1  3.971083  9.913640 92.883347
18733  1  0.618420 11.052350  9.974944
22881  1  2.229478 12.194791 12.005279
4181   1  3.103150 14.529433 12.020658
16665  1  0.625678 14.529433 12.020658
122    1  1.372294 13.343832 14.036436
12596  1  3.849766 13.343832 14.036436
22980  1  2.124555 12.164843 16.053040
4280   1  3.000541 14.499947 16.067408
16764  1  0.523069 14.499947 16.067408
221    1  1.286828 13.326428 18.084651
12695  1  3.764300 13.326428 18.084651
23079  1  2.055127 12.157675 20.104097
4379   1  2.932494 14.492462 20.114625
16863  1  0.455022 14.492463 20.114625
320    1  1.234312 13.325150 22.134779
12794  1  3.711784 13.325150 22.134779
16962  1  0.417237 14.494669 24.162781
23178  1  2.017345 12.159982 24.157658
4478   1  2.894709 14.494669 24.162781
419    1  1.211116 13.328367 26.186023
12893  1  3.688589 13.328367 26.186023
17061  1  0.407081 14.498292 28.211018
23277  1  2.009513 12.162521 28.211564
4577   1  2.884554 14.498292 28.211018
518    1  1.216518 13.331014 30.236086
12992  1  3.693991 13.331014 30.236086
617    1  1.252300 13.335931 34.281971
13091  1  3.729772 13.335931 34.281971
17160  1  0.424766 14.502224 32.256921
23376  1  2.032512 12.164183 32.262577
4676   1  2.902238 14.502223 32.256921
716    1  1.322338 13.352125 38.322663
13190  1  3.799811 13.352125 38.322662
17259  1  0.472982 14.511841 36.298458
23475  1  2.089732 12.172649 36.307659
4775   1  2.950455 14.511841 36.298458
815    1  1.423255 13.382172 42.362039
13289  1  3.900727 13.382171 42.362038
17358  1  0.553478 14.533671 40.336995
23574  1  2.185037 12.199305 40.347694
4874   1  3.030951 14.533670 40.336995
914    1  1.528963 13.404469 46.403432
13388  1  4.006436 13.404468 46.403432
17457  1  0.653168 14.559035 44.376989
23673  1  2.300956 12.232285 44.388483
4973   1  3.130641 14.559035 44.376989
1013   1  1.625988 13.414408 50.443706
13487  1  4.103460 13.414408 50.443706
17556  1  0.751467 14.573204 48.418434
23772  1  2.406056 12.246851 48.429062
5072   1  3.228940 14.573203 48.418434
11397  1  2.499075 12.253483 52.466424
5171   1  0.846967 14.584166 52.458576
17645  1  3.324439 14.584165 52.458576
11496  1  2.581810 12.263363 56.501771
13586  1  1.717354 13.425179 54.481316
5270   1  0.939296 14.600469 56.496140
17744  1  3.416768 14.600469 56.496140
11595  1  2.646358 12.272982 60.537712
13685  1  1.797583 13.438662 58.517191
5369   1  1.014955 14.614124 60.532647
17843  1  3.492428 14.614124 60.532648
11694  1  2.687241 12.277912 64.577051
13784  1  1.855433 13.446931 62.554532
5468   1  1.064726 14.619159 64.572181
17942  1  3.542199 14.619158 64.572181
11793  1  2.705787 12.280303 68.620672
13883  1  1.888563 13.449679 66.596136
5567   1  1.089766 14.619949 68.616691
18041  1  3.567239 14.619949 68.616691
11892  1  2.704309 12.283832 72.667371
13982  1  1.899465 13.451514 70.642117
5666   1  1.092584 14.621980 72.665365
18140  1  3.570056 14.621980 72.665365
14081  1  1.889833 13.455996 74.690752
11991  1  2.683486 12.290316 76.714941
14180  1  1.859728 13.463459 78.739855
5765   1  1.074053 14.627726 76.716198
18239  1  3.551526 14.627726 76.716198
12090  1  2.642321 12.298199 80.761439
